paper_id,doi,title,publication_year,publication_date,cited_by_count,type,authors,concepts
p0000,https://doi.org/10.1161/circulationaha.115.001593,Machine Learning in Medicine,2015,11/16/2015,2662,review,Rahul C. Deo,Medicine; Medical physics; Medical education; Intensive care medicine
p0001,https://doi.org/10.1504/ijmmno.2013.055204,A literature survey of benchmark functions for global optimisation problems,2013,1/1/2013,1138,article,Momin Jamil; Xin‐She Yang,Benchmark (surveying); Set (abstract data type); Computer science; Test functions for optimization; Test (biology)
p0002,https://doi.org/10.1109/icip.2017.8296547,Abnormal event detection in videos using generative adversarial nets,2017,9/1/2017,486,article,Mahdyar Ravanbakhsh; Moin Nabi; Enver Sangineto; Lucio Marcenaro; Carlo S. Regazzoni,Abnormality; Computer science; Artificial intelligence; Normality; Generative grammar
p0003,https://doi.org/10.3115/v1/p15-1001,On Using Very Large Target Vocabulary for Neural Machine Translation,2015,1/1/2015,916,article,Sébastien Jean; Kyunghyun Cho; Roland Memisevic; Yoshua Bengio,Machine translation; Computer science; Vocabulary; Artificial intelligence; Natural language processing
p0004,https://doi.org/10.1109/tpami.2007.1167,Gaussian Process Dynamical Models for Human Motion,2007,12/20/2007,1016,article,Jonathan M. Wang; David J. Fleet; Aaron Hertzmann,Gaussian process; Artificial intelligence; Latent variable; Computer science; Prior probability
p0005,https://doi.org/10.3115/v1/s14-2004,SemEval-2014 Task 4: Aspect Based Sentiment Analysis,2014,1/1/2014,1723,article,Maria Pontiki; Dimitrios Galanis; John Pavlopoulos; Harris Papageorgiou; Ion Androutsopoulos,SemEval; Computer science; Task (project management); Natural language processing; Artificial intelligence
p0006,https://doi.org/10.1088/0305-4470/25/21/023,The quantum-state diffusion model applied to open systems,1992,11/7/1992,719,article,Nicolas Gisin; I C Percival,Stochastic differential equation; Statistical physics; Operator (biology); State vector; Differential equation
p0007,https://doi.org/10.1016/j.compfluid.2012.04.006,High-order methods for decaying two-dimensional homogeneous isotropic turbulence,2012,4/21/2012,53,article,Omer San; Anne Staples,Pseudo-spectral method; Computation; Mathematics; Direct numerical simulation; Homogeneous isotropic turbulence
p0008,https://doi.org/10.1016/j.media.2012.02.005,Machine learning and radiology,2012,2/23/2012,619,review,Shijun Wang; Ronald M. Summers,Artificial intelligence; Machine learning; Computer science; Key (lock); Segmentation
p0009,https://doi.org/10.1016/j.jimonfin.2007.06.001,"Why U.S. money does not cause U.S. output, but does cause Hong Kong output",2007,6/23/2007,15,article,Gabriel Rodrı́guez; Nicholas Rowe,Economics; Monetary policy; Monetary economics; Liberian dollar; Granger causality
